date,target_alloc,action,equity
2012-08-20,1.0,HOLD,3326534204.4170656
2012-08-21,1.0,HOLD,3287989979.37848
2012-08-22,1.0,HOLD,3323741144.631661
2012-08-23,1.0,HOLD,3250004366.296975
2012-08-24,1.0,HOLD,3307541397.876313
2012-08-27,1.0,HOLD,3323741144.631661
2012-08-28,1.0,HOLD,3323182532.6745796
2012-08-29,1.0,HOLD,3324299756.588742
2012-08-30,1.0,HOLD,3222632380.4000087
2012-08-31,1.0,HOLD,3291341651.1209655
2012-09-04,1.0,HOLD,3277376352.193942
2012-09-05,1.0,HOLD,3262852441.309837
2012-09-06,1.0,HOLD,3478476656.7430844
2012-09-07,1.0,HOLD,3463394133.901899
2012-09-10,1.0,HOLD,3336030607.6874413
2012-09-11,1.0,HOLD,3321506696.803337
2012-09-12,1.0,HOLD,3349995906.6144657
2012-09-13,1.0,HOLD,3483504164.3568134
2012-09-14,1.0,HOLD,3572882077.4897647
2012-09-17,1.0,HOLD,3579585420.9747367
2012-09-18,1.0,HOLD,3586288764.459708
2012-09-19,1.0,HOLD,3610309078.6141887
2012-09-20,1.0,HOLD,3601929899.257975
2012-09-21,1.0,HOLD,3601929899.257975
2012-09-24,1.0,HOLD,3535455076.3653417
2012-09-25,1.0,HOLD,3393567639.26678
2012-09-26,1.0,HOLD,3304189726.1338277
2012-09-27,1.0,HOLD,3444401327.3611465
2012-09-28,1.0,HOLD,3361726757.7131658
2012-10-01,1.0,HOLD,3347202846.8290606
2012-10-02,1.0,HOLD,3368988713.1552176
2012-10-03,1.0,HOLD,3432670476.2624464
2012-10-04,1.0,HOLD,3472890537.172275
2012-10-05,1.0,HOLD,3412560445.8075323
2012-10-08,1.0,HOLD,3322623920.717499
2012-10-09,1.0,HOLD,3151688661.850728
2012-10-10,1.0,HOLD,3113703048.769223
2012-10-11,0.5,TRADE,3085772450.9151754
2012-10-12,0.5,HOLD,3085499902.8719406
2012-10-15,1.0,TRADE,3116243834.540511
2012-10-16,1.0,HOLD,3251780802.3129992
2012-10-17,0.5,TRADE,3241822984.272571
2012-10-18,0.5,HOLD,3186508872.643539
2012-10-19,0.4,TRADE,3073384095.198867
2012-10-22,0.4,HOLD,3092606002.5658693
2012-10-23,0.0,TRADE,3055857553.0478086
2012-10-24,0.0,HOLD,3055870937.90733
2012-10-25,0.0,HOLD,3055884322.823557
2012-10-26,0.0,HOLD,3055897707.807792
2012-10-31,0.0,HOLD,3055964633.598613
2012-11-01,0.0,HOLD,3055978018.9313326
2012-11-02,0.0,HOLD,3055991404.3236175
2012-11-05,0.4,TRADE,3056031560.8463798
2012-11-06,0.4,HOLD,3063527571.5434227
2012-11-07,0.1,TRADE,2975317846.5644445
2012-11-08,0.0,TRADE,2961425651.098605
2012-11-09,0.0,HOLD,2961438622.3429117
2012-11-12,0.0,HOLD,2961477536.4276867
2012-11-13,0.0,HOLD,2961490507.9026294
2012-11-14,0.0,HOLD,2961503479.434108
2012-11-15,0.0,HOLD,2961516451.022261
2012-11-16,0.0,HOLD,2961529422.66709
2012-11-19,0.0,HOLD,2961568337.908049
2012-11-20,0.0,HOLD,2961581309.7797213
2012-11-21,0.0,HOLD,2961594281.7079277
2012-11-23,0.1,TRADE,2961620225.7345085
2012-11-26,0.1,HOLD,2965425763.672019
